timestamp,cpu_usage,memory_usage,error_rate,response_time,status
2026-08-29T00:00:00Z,32.4,45.2,0.4,0.75,Healthy
2026-08-29T01:00:00Z,30.1,44.8,0.2,0.72,Healthy
2026-08-29T02:00:00Z,28.5,44.5,0.3,0.70,Healthy
2026-08-29T03:00:00Z,29.0,45.0,0.2,0.71,Healthy
2026-08-29T04:00:00Z,31.2,45.6,0.3,0.74,Healthy
2026-08-29T05:00:00Z,35.6,47.1,0.5,0.80,Healthy
2026-08-29T06:00:00Z,42.1,50.3,0.6,0.85,Healthy
2026-08-29T07:00:00Z,48.5,53.2,0.8,0.92,Healthy
2026-08-29T08:00:00Z,55.4,56.8,1.1,1.05,Healthy
2026-08-29T09:00:00Z,58.2,58.1,1.2,1.12,Healthy
2026-08-29T10:00:00Z,62.4,61.0,1.5,1.25,Warning
2026-08-29T11:00:00Z,65.8,63.4,1.8,1.38,Warning
2026-08-29T12:00:00Z,68.2,65.0,2.1,1.45,Warning
2026-08-29T13:00:00Z,72.5,67.3,2.4,1.60,Warning
2026-08-29T14:00:00Z,78.9,71.5,3.2,1.85,Warning
2026-08-29T15:00:00Z,86.4,78.2,5.8,2.40,Critical
2026-08-29T16:00:00Z,94.2,85.6,12.4,4.80,Critical
2026-08-29T17:00:00Z,96.8,89.4,16.2,5.90,Critical
2026-08-29T18:00:00Z,92.1,84.0,11.0,4.20,Critical
2026-08-29T19:00:00Z,82.4,76.5,6.5,2.75,Critical
2026-08-29T20:00:00Z,71.0,68.2,3.0,1.70,Warning
2026-08-29T21:00:00Z,58.6,60.1,1.4,1.15,Healthy
2026-08-29T22:00:00Z,46.2,54.0,0.8,0.92,Healthy
2026-08-29T23:00:00Z,38.5,49.2,0.5,0.81,Healthy
2026-08-30T00:00:00Z,34.0,46.5,0.3,0.76,Healthy
2026-08-30T01:00:00Z,31.5,45.0,0.2,0.73,Healthy
2026-08-30T02:00:00Z,29.8,44.2,0.3,0.71,Healthy
2026-08-30T03:00:00Z,30.4,44.9,0.2,0.72,Healthy
2026-08-30T04:00:00Z,33.1,46.0,0.4,0.75,Healthy
2026-08-30T05:00:00Z,37.2,48.3,0.5,0.82,Healthy
2026-08-30T06:00:00Z,44.0,51.8,0.7,0.88,Healthy
2026-08-30T07:00:00Z,50.6,55.0,0.9,0.98,Healthy
2026-08-30T08:00:00Z,57.1,58.4,1.2,1.08,Healthy
2026-08-30T09:00:00Z,61.0,60.5,1.4,1.18,Warning
2026-08-30T10:00:00Z,64.5,62.8,1.7,1.30,Warning
2026-08-30T11:00:00Z,67.8,64.9,2.0,1.42,Warning
2026-08-30T12:00:00Z,70.2,66.2,2.3,1.52,Warning
2026-08-30T13:00:00Z,74.6,69.0,2.8,1.70,Warning
2026-08-30T14:00:00Z,81.3,74.5,4.5,2.15,Critical
2026-08-30T15:00:00Z,89.7,81.0,8.6,3.40,Critical
2026-08-30T16:00:00Z,95.4,87.2,14.8,5.20,Critical
2026-08-30T17:00:00Z,97.5,91.0,18.0,6.40,Critical
2026-08-30T18:00:00Z,93.8,86.5,13.2,4.60,Critical
2026-08-30T19:00:00Z,84.1,78.9,7.2,2.90,Critical
2026-08-30T20:00:00Z,73.5,70.1,3.5,1.82,Warning
2026-08-30T21:00:00Z,60.2,61.8,1.6,1.20,Healthy
2026-08-30T22:00:00Z,48.0,55.3,0.9,0.95,Healthy
2026-08-30T23:00:00Z,39.4,50.1,0.5,0.83,Healthy
2026-08-31T00:00:00Z,35.2,47.0,0.4,0.78,Healthy
2026-08-31T01:00:00Z,32.0,45.5,0.3,0.74,Healthy
2026-08-31T02:00:00Z,30.5,44.8,0.2,0.72,Healthy
2026-08-31T03:00:00Z,31.0,45.2,0.3,0.73,Healthy
2026-08-31T04:00:00Z,34.5,46.8,0.4,0.77,Healthy
2026-08-31T05:00:00Z,39.0,49.0,0.6,0.84,Healthy
2026-08-31T06:00:00Z,46.3,52.9,0.8,0.90,Healthy
2026-08-31T07:00:00Z,52.8,56.4,1.0,1.02,Healthy
2026-08-31T08:00:00Z,59.4,59.6,1.3,1.14,Healthy
2026-08-31T09:00:00Z,63.1,61.9,1.6,1.26,Warning
2026-08-31T10:00:00Z,66.7,64.1,1.9,1.36,Warning
2026-08-31T11:00:00Z,71.2,67.0,2.5,1.58,Warning
2026-08-31T12:00:00Z,76.5,70.8,3.1,1.78,Warning
2026-08-31T13:00:00Z,83.0,76.0,5.0,2.30,Critical
2026-08-31T14:00:00Z,91.2,83.4,10.5,3.90,Critical
2026-08-31T15:00:00Z,96.0,88.9,15.5,5.60,Critical
2026-08-31T16:00:00Z,94.5,86.7,13.0,4.70,Critical
2026-08-31T17:00:00Z,86.8,80.2,8.0,3.10,Critical
2026-08-31T18:00:00Z,75.4,72.0,3.8,1.95,Warning
2026-08-31T19:00:00Z,62.0,63.5,1.7,1.28,Warning
2026-08-31T20:00:00Z,49.5,56.8,1.0,0.98,Healthy
2026-08-31T21:00:00Z,41.2,51.5,0.6,0.86,Healthy
2026-08-31T22:00:00Z,36.0,48.0,0.4,0.79,Healthy
2026-08-31T23:00:00Z,33.5,46.2,0.3,0.75,Healthy
